"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454699","240883201","18766.55","2.95e-6","4.00e-8","-2.02","-","165.64","1e-8","0","bin1.log"
"Sep 19 2008","2454729","243475201","16763.41","3.07e-6","5.00e-8","-2.02","-","160.39","1e-8","0","bin2.log"
"Oct 19 2008","2454759","246067201","7533.88","1.56e-6","3.00e-8","-2.02","-","132.03","1e-8","0","bin3.log"
"Nov 18 2008","2454788","248659201","6006.78","1.36e-6","3.00e-8","-2.02","-","103.51","1e-8","0","bin4.log"
"Dec 18 2008","2454819","251251201","2821.82","8.55e-7","2.90e-8","-2.02","-","76.50","1e-8","0","bin5.log"
"Jan 17 2009","2454847","253843201","2192.19","6.25e-7","2.30e-8","-2.02","-","51.64","1e-8","0","bin6.log"
"Feb 16 2009","2454877","256435201","281.86","2.06e-7","1.90e-8","-2.02","-","29.47","1e-8","0","bin7.log"
"Mar 18 2009","2454909","259027201","95.74","9.28e-8","1.36e-8","-2.02","-","22.06","1e-8","0","bin8.log"
"Apr 17 2009","2454939","261619201","836.93","3.91e-7","2.20e-8","-2.02","-","42.04","1e-8","0","bin9.log"
"May 17 2009","2454969","264211201","3257.01","8.86e-7","2.80e-8","-2.02","-","70.48","1e-8","0","bin10.log"
"Jun 16 2009","2454998","266803201","1455.92","5.07e-7","2.30e-8","-2.02","-","101.10","1e-8","0","bin11.log"
"Jul 16 2009","2455029","269395201","874.75","3.80e-7","2.10e-8","-2.02","-","131.85","1e-8","0","bin12.log"
"Aug 15 2009","2455058","271987201","6452.27","1.51e-6","3.00e-8","-2.02","-","161.09","1e-8","0","bin13.log"
"Sep 14 2009","2455088","274579201","12436.01","2.94e-6","5.00e-8","-2.02","-","164.94","1e-8","0","bin14.log"
"Oct 14 2009","2455118","277171201","12467.1","2.92e-6","5.00e-8","-2.02","-","137.06","1e-8","0","bin15.log"
"Nov 13 2009","2455148","279763201","14094.9","3.05e-6","5.00e-8","-2.02","-","108.42","1e-8","0","bin16.log"
"Dec 13 2009","2455178","282355201","52611.27","8.74e-6","8.00e-8","-2.02","-","81.07","1e-8","0","bin17.log"
"Jan 12 2010","2455207","284947201","20063.6","4.20e-6","6.00e-8","-2.02","-","55.84","1e-8","0","bin18.log"
"Feb 11 2010","2455237","287539201","10646.21","2.62e-6","5.00e-8","-2.02","-","32.95","1e-8","0","bin19.log"
"Mar 13 2010","2455269","290131201","10627.81","2.69e-6","5.00e-8","-2.02","-","21.01","1e-8","0","bin20.log"
"Apr 12 2010","2455299","292723201","61499.26","9.16e-6","8.00e-8","-2.02","-","37.58","1e-8","0","bin21.log"
"May 12 2010","2455329","295315201","24192.98","4.48e-6","6.00e-8","-2.02","-","65.28","1e-8","0","bin22.log"
"Jun 11 2010","2455359","297907201","7399.89","1.92e-6","4.00e-8","-2.02","-","95.69","1e-8","0","bin23.log"
"Jul 11 2010","2455389","300499201","4272.23","1.44e-6","4.00e-8","-2.02","-","126.53","1e-8","0","bin24.log"
"Aug 10 2010","2455419","303091201","7602","2.00e-6","4.00e-8","-2.02","-","156.23","1e-8","0","bin25.log"
"Sep 09 2010","2455448","305683201","11345.82","2.78e-6","5.00e-8","-2.02","-","168.95","1e-8","0","bin26.log"
"Oct 09 2010","2455478","308275201","12206.42","2.90e-6","5.00e-8","-2.02","-","142.08","1e-8","0","bin27.log"
"Nov 08 2010","2455508","310867201","116842.13","1.62e-5","1.00e-7","-2.02","-","113.38","1e-8","0","bin28.log"
"Dec 08 2010","2455538","313459201","121828.95","1.66e-5","1.00e-7","-2.02","-","85.70","1e-8","0","bin29.log"
"Jan 07 2011","2455568","316051201","48667.59","9.14e-6","9.00e-8","-2.02","-","60.10","1e-8","0","bin30.log"
"Feb 06 2011","2455597","318643201","13878.29","3.30e-6","5.00e-8","-2.02","-","36.67","1e-8","0","bin31.log"
